"","Student","MCQ","Justification","J Gain","J Consistency","Score"
"1","What is your Last Name?",NA,NA,NA,NA,NA
"2","{""ImportId"":""QID64_TEXT""}",NA,NA,NA,NA,NA
"3","ideal",NA,NA,NA,NA,NA
"4","apricot-pea",40,15,-31.25,-25,27.5
"5","apricot-tomato",100,20,-40,-80,60
"6","aquamarine-cucumber",80,55,-15.625,-25,67.5
"7","bittersweet-potato",40,25,-18.75,-15,32.5
"8","bittersweet-tubers",80,85,3.125,5,82.5
"9","black-turnip",80,75,-3.125,-5,77.5
"10","blue-watercress",60,40,-16.6666666666667,-20,50
"11","brown-bilberry",40,25,-18.75,-15,32.5
"12","brown-mandarine",100,70,-15,-30,85
"13","canary-eggplant",100,80,-10,-20,90
"14","canary-elderberry",80,75,-3.125,-5,77.5
"15","cerulean-chickpea",100,80,-10,-20,90
"16","chestnut-cilantro",100,70,-15,-30,85
"17","eggplant-rutabaga",60,30,-25,-30,45
"18","goldenrod-dill",100,80,-10,-20,90
"19","lavender-asparagus",40,45,6.25,5,42.5
"20","magenta-jalapeno",80,45,-21.875,-35,62.5
"21","manatee-lime",100,90,-5,-10,95
"22","melon-quince",60,40,-16.6666666666667,-20,50
"23","peach-frisee",60,55,-4.16666666666667,-4.99999999999999,57.5
"24","razzmatazz-artichoke",20,NA,-50,NA,10
"25","razzmatazz-cabbage",60,40,-16.6666666666667,-20,50
"26","red-jambul",60,30,-25,-30,45
"27","red-radish",100,80,-10,-20,90
"28","scarlet-gooseberry",80,55,-15.625,-25,67.5
"29","sunglow-nectarine",100,80,-10,-20,90
"30","tumbleweed-cranberry",100,80,-10,-20,90
"31","violet-kumquat",80,65,-9.375,-15,72.5
"32","yellow-eggplant",100,70,-15,-30,85
